"Value of Exports by Major Country/Region/Certain Entity of Destination (FOB value:million US$), 2000-2025",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region/Certain Entity of Destination,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Poland, - , - , 111.2 , 96.2 , 101.7 , 115.4 , 143.5 , 190.9 , 274.1 , 259.7 , 313.3 , 379.5 , 340.0 , 365.4 , 396.0 , 358.9 , 370.0 , 384.2 , 461.2 , 483.8 , 441.1 , 654.6 ," 1,124.0 ", 772.1 , 726.8 , 897.5 
Rest of European Union," 1,839.1 "," 1,733.5 "," 1,550.5 "," 1,460.5 "," 1,735.9 "," 1,838.5 "," 2,046.9 "," 2,061.5 "," 2,305.6 "," 2,132.5 "," 2,480.5 "," 2,639.6 "," 2,442.4 "," 2,462.7 "," 2,583.1 "," 2,354.1 "," 2,483.0 "," 2,474.2 "," 2,900.4 "," 2,442.2 "," 1,064.1 "," 1,248.9 "," 1,699.7 "," 1,910.6 "," 1,963.4 "," 1,974.5 "
Rest of Europe, 318.5 , 324.8 ," 6,327.2 "," 6,912.5 ", 482.1 , 650.3 , 832.1 ," 1,142.4 "," 1,426.7 ", 983.5 ," 1,450.7 "," 1,789.7 "," 1,696.9 "," 1,858.7 "," 1,752.7 "," 2,546.0 "," 3,954.5 "," 2,951.3 "," 2,166.0 "," 2,253.4 "," 5,054.4 "," 5,133.1 "," 5,551.7 "," 5,768.3 "," 5,525.8 "," 9,200.4 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 62,124.0 "," 56,320.9 "," 57,158.8 "," 61,058.2 "," 71,584.6 "," 85,660.0 "," 100,798.6 "," 114,100.9 "," 137,020.4 "," 116,510.0 "," 157,779.1 "," 203,496.6 "," 190,020.3 "," 182,551.8 "," 175,980.0 "," 150,366.3 "," 145,134.0 "," 168,828.2 "," 180,012.7 "," 167,683.0 "," 163,191.8 "," 231,710.1 "," 292,186.7 "," 259,527.8 "," 266,529.2 "," 282,504.9 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Since 2020, United Kingdom is no longer a member of the European Union",,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Since November 2025, Timor Leste was included in ASEAN",,,,,,,,,,,,,,,,,,,,,,,,,,
Based on customs declaration documents from Directorate General of Customs and Excise (Exports and Imports Declaration),,,,,,,,,,,,,,,,,,,,,,,,,,
